image_idx,DSC_metric,NSD_metric
0,0.988732,0.934465
1,0.868907,0.691176
2,0.937972,0.759109
3,0.987062,0.963723
4,0.991301,1.0
5,0.984319,0.909554
6,0.846808,0.580499
7,0.916651,0.67395
8,0.658694,0.527897
9,0.848073,0.507853
10,0.968613,0.859323
11,0.978977,0.8728
12,0.9812,0.917563
13,0.987144,0.955419
14,0.98874,0.954481
15,0.857143,0.559917
16,0.975249,0.947452
17,0.982732,0.989986
18,0.990272,1.0
19,0.977426,0.971429
20,0.984694,0.966512
21,0.919739,0.827038
22,0.977902,0.809605
23,0.901648,0.478261
24,0.990904,0.903416
25,0.975613,0.813544
26,0.984937,0.887738
27,0.979688,0.901893
28,0.988254,0.904478
29,0.985121,0.967957
30,0.980102,0.875401
31,0.80351,0.599206
32,0.950662,0.942363
33,0.969833,0.893258
34,0.988021,0.971783
35,0.991954,0.996781
36,0.981907,0.895765
37,0.946108,0.844488
38,0.977831,1.0
39,0.987167,0.966949
40,0.965142,1.0
41,0.964561,0.931169
42,0.968421,0.898487
43,0.981687,0.838517
44,0.992796,0.95452
45,0.977916,0.784821
46,0.983593,0.869961
47,0.978061,0.878089
48,0.990522,0.976107
49,0.777002,0.69
50,0.980254,0.958904
51,0.876869,0.542035
52,0.920652,0.814815
53,0.986451,1.0
54,0.982737,0.887347
55,0.972615,1.0
56,0.980721,0.973254
57,0.971209,0.836394
58,0.956387,0.958064
59,0.990674,0.997879
60,0.966301,0.792157
61,0.982193,0.941581
62,0.97874,0.844071
63,0.896372,0.703242
64,0.990841,1.0
65,0.983263,0.914432
66,0.962699,0.832187
67,0.986385,0.983307
68,0.869953,0.696921
69,0.975979,0.885926
70,0.990327,0.965812
71,0.989311,0.959108
72,0.989002,0.917625
73,0.937331,0.660271
74,0.985982,0.937712
75,0.987666,0.99765
76,0.990202,0.90793
77,0.980928,0.895492
78,0.985101,1.0
79,0.979268,0.872847
80,0.940698,0.925
81,0.961448,0.787446
82,0.785671,0.430851
83,0.985515,0.902507
84,0.990018,0.969828
85,0.899265,0.121097
86,0.597534,0.193598
87,0.947053,0.311647
88,0.979485,0.874214
89,0.989449,0.956147
90,0.985779,0.957335
91,0.977034,0.799584
92,0.984147,0.932699
93,0.854772,0.60177
94,0.963606,0.89845
95,0.978406,0.860673
96,0.9446,0.836115
97,0.952992,0.801852
98,0.988208,0.984227
99,0.886395,0.706044
100,0.963301,0.891892
101,0.984892,0.911967
102,0.987831,0.925065
103,0.991579,0.984605
104,0.894536,0.796353
105,0.9476,0.855615
106,0.985039,1.0
107,0.831729,0.748299
108,0.974598,0.817995
109,0.752439,0.631016
110,0.974281,0.780457
111,0.989935,0.96732
112,0.96836,0.95
113,0.960621,0.953988
114,0.967582,0.868093
115,0.901088,0.671159
116,0.845416,0.631579
117,0.966273,0.860268
118,0.93545,0.885986
119,0.985395,1.0
120,0.988597,0.939351
121,0.940204,0.714569
122,0.965703,0.853985
123,0.971483,0.764706
124,0.985083,0.949649
125,0.991436,0.98351
126,0.813047,0.297344
127,0.937575,0.442153
128,0.804455,0.0
129,0.983699,0.919335
130,0.91928,0.863388
131,0.974563,0.892487
132,0.9855,0.889903
133,0.931264,0.814126
134,0.969226,0.906574
135,0.981106,0.898297
136,0.975677,0.9
137,0.985408,0.944056
138,0.990938,0.98274
139,0.990207,0.98285
140,0.984614,0.881356
141,0.987247,0.996761
142,0.961839,0.942661
143,0.981459,0.952174
144,0.979127,0.985735
145,0.980972,0.88254
146,0.933121,0.858491
147,0.961232,0.935065
148,0.960542,0.931343
149,0.933185,0.870036
150,0.993118,0.969903
151,0.981985,0.902801
152,0.982168,0.99651
153,0.969197,0.777325
154,0.987648,0.997725
155,0.991973,0.966709
156,0.959842,0.883669
157,0.979693,0.907534
158,0.987848,0.983784
159,0.981728,0.939375
160,0.930412,0.86907
161,0.97877,1.0
162,0.944272,0.717365
163,0.851364,0.693694
164,0.919499,0.670923
165,0.987568,0.925754
166,0.941294,0.786492
167,0.980398,0.928962
168,0.990313,0.946407
169,0.976112,0.879801
170,0.987621,0.928571
171,0.878483,0.772988
172,0.990539,1.0
173,0.990189,0.950519
174,0.946866,0.890736
175,0.98155,0.939394
176,0.871243,0.097493
177,0.824554,0.104442
178,0.945047,0.341758
179,0.985539,0.9375
180,0.909327,0.727099
181,0.989172,0.997389
182,0.992546,0.971223
183,0.97975,0.948889
184,0.9273,0.383533
185,0.933401,0.229818
186,0.799169,0.055313
187,0.991183,0.929331
188,0.992355,0.964995
189,0.85186,0.30378
190,0.981705,0.865113
191,0.988249,0.962667
192,0.986873,0.984076
193,0.992596,1.0
194,0.978542,0.842385
195,0.992166,0.998246
196,0.990413,0.975327
197,0.990524,0.966169
198,0.781122,0.109951
199,0.713059,0.243518
200,0.913901,0.062564
201,0.984909,0.947761
202,0.868119,0.552419
203,0.977552,1.0
204,0.676829,0.504854
205,0.990492,0.924005
206,0.935315,0.64129
207,0.839673,0.137181
208,0.905653,0.261384
209,0.870417,0.285554
210,0.979234,0.834831
211,0.986836,0.940246
212,0.987893,0.949342
213,0.98465,0.955903
214,0.963415,0.884101
215,0.891527,0.714286
216,0.978819,0.941687
217,0.98966,0.958042
218,0.991642,0.998197
219,0.984471,0.91533
220,0.988163,0.923077
221,0.9876,0.92817
222,0.989224,0.964286
223,0.977726,0.824612
224,0.968005,0.851992
225,0.98591,0.938821
226,0.969422,0.946023
227,0.97926,0.98036
228,0.983901,0.910497
229,0.979583,0.895954
230,0.97029,0.857031
231,0.980309,0.970639
232,0.984142,0.924841
233,0.988767,0.96897
234,0.989526,0.994152
235,0.929107,0.768621
236,0.949625,0.6144
237,0.964732,0.802956
238,0.986282,0.944871
239,0.990685,0.968725
240,0.976394,0.852079
241,0.963788,0.803874
242,0.991575,0.965598
243,0.979243,0.843829
244,0.99286,0.965123
245,0.976411,0.807756
246,0.849867,0.59144
247,0.974937,0.862213
248,0.936102,0.54855
249,0.712493,0.38806
250,0.993547,0.982446
251,0.981202,0.870492
252,0.988229,0.891105
253,0.974222,0.825153
254,0.945173,0.939577
255,0.974053,0.848564
256,0.868199,0.725166
257,0.987858,0.992966
258,0.981457,0.863192
259,0.930782,0.706177
260,0.976867,0.935652
261,0.985433,0.997955
262,0.952717,0.88674
263,0.970232,0.759378
264,0.843315,0.373178
265,0.968274,0.775172
266,0.914458,0.797327
267,0.974814,0.965157
268,0.864294,0.661616
269,0.978149,0.879436
270,0.962611,0.789984
271,0.909561,0.612352
272,0.977326,0.849315
273,0.98078,0.90752
274,0.989371,0.899624
275,0.984144,0.870588
276,0.975772,0.835149
277,0.9821,0.931929
278,0.970358,0.994832
279,0.983274,1.0
280,0.803843,0.589695
281,0.989922,0.980682
282,0.972228,0.986631
283,0.984676,0.942294
284,0.986447,0.979664
285,0.984982,0.947838
286,0.988214,0.982851
287,0.66366,0.211777
288,0.821355,0.227818
