image_idx,DSC_metric,NSD_metric,modality
0,0.988732,0.934465,CT
1,0.868907,0.691176,CT
2,0.937972,0.759109,CT
3,0.987062,0.963723,CT
4,0.991301,1.0,CT
5,0.984319,0.909554,CT
6,0.846808,0.580499,CT
7,0.916651,0.67395,CT
8,0.658694,0.527897,CT
9,0.848073,0.507853,CT
10,0.968613,0.859323,CT
11,0.978977,0.8728,CT
12,0.9812,0.917563,CT
13,0.987144,0.955419,CT
14,0.98874,0.954481,CT
15,0.857143,0.559917,CT
16,0.975249,0.947452,CT
17,0.982732,0.989986,CT
18,0.990272,1.0,CT
19,0.977426,0.971429,CT
20,0.984694,0.966512,CT
21,0.919739,0.827038,CT
22,0.977902,0.809605,CT
23,0.901648,0.478261,CT
24,0.990904,0.903416,CT
25,0.975613,0.813544,CT
26,0.984937,0.887738,CT
27,0.979688,0.901893,CT
28,0.988254,0.904478,CT
29,0.985121,0.967957,CT
30,0.980102,0.875401,CT
31,0.80351,0.599206,CT
32,0.950662,0.942363,CT
33,0.969833,0.893258,CT
34,0.988021,0.971783,CT
35,0.991954,0.996781,CT
36,0.981907,0.895765,CT
37,0.946108,0.844488,CT
38,0.977831,1.0,CT
39,0.987167,0.966949,CT
40,0.965142,1.0,CT
41,0.964561,0.931169,CT
42,0.968421,0.898487,CT
43,0.981687,0.838517,CT
44,0.992796,0.95452,CT
45,0.977916,0.784821,CT
46,0.983593,0.869961,CT
47,0.978061,0.878089,CT
48,0.990522,0.976107,CT
49,0.777002,0.69,CT
50,0.980254,0.958904,CT
51,0.876869,0.542035,CT
52,0.920652,0.814815,CT
53,0.986451,1.0,CT
54,0.982737,0.887347,CT
55,0.972615,1.0,CT
56,0.980721,0.973254,CT
57,0.971209,0.836394,CT
58,0.956387,0.958064,CT
59,0.990674,0.997879,CT
60,0.966301,0.792157,CT
61,0.982193,0.941581,CT
62,0.97874,0.844071,CT
63,0.896372,0.703242,CT
64,0.990841,1.0,CT
65,0.983263,0.914432,CT
66,0.962699,0.832187,CT
67,0.986385,0.983307,CT
68,0.869953,0.696921,CT
69,0.975979,0.885926,CT
70,0.990327,0.965812,CT
71,0.989311,0.959108,CT
